resp,pred,r2_marg,r2_cond,std_est,p_val
~~nmass.trans,~~wn90_perc,NA,NA,-0.049,0.135
~~soil.no3n,~~vpd90,NA,NA,-0.267,<0.001
~~vpd90,~~beta.trans,NA,NA,-0.062,0.08
beta.trans,photo,0.54,0.77,-0.816,<0.001
beta.trans,n.fixer,0.54,0.77,-0.114,0.189
beta.trans,wn90_perc,0.54,0.77,0.091,0.005
beta.trans,soil.no3n,0.54,0.77,-0.086,0.002
chi,photo,0.92,0.96,-0.738,<0.001
chi,beta.trans,0.92,0.96,0.316,<0.001
chi,vpd90,0.92,0.96,-0.096,<0.001
chi,wn90_perc,0.92,0.96,-0.07,<0.001
marea.trans,photo,0.08,0.66,-0.461,0.01
marea.trans,chi,0.08,0.66,-0.309,0.006
marea.trans,soil.no3n,0.08,0.66,-0.255,<0.001
narea.trans,nmass.trans,1,1,0.899,<0.001
narea.trans,marea.trans,1,1,0.822,<0.001
nmass.trans,photo,0.49,0.65,-0.378,0.004
nmass.trans,marea.trans,0.49,0.65,-0.373,<0.001
nmass.trans,n.fixer,0.49,0.65,0.288,<0.001
nmass.trans,chi,0.49,0.65,0.185,0.154
nmass.trans,beta.trans,0.49,0.65,-0.171,0.012
nmass.trans,soil.no3n,0.49,0.65,0.166,<0.001
soil.no3n,wn90_perc,0.03,0.35,-0.198,<0.001
wn90_perc,vpd90,0.49,0.67,-0.675,<0.001